source_row,name,city,state,country,type,should_write,written_raw,written_status,drew_one_raw,drew_status,wrote_thank_feb2020,website,instagram,twitter,existing_site_match,existing_site_id,existing_site_path,candidate_site_names
7617,Triceratops Brewing,Tumwater,WA,,Proprietor,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7618,Matchless Brewing,Tumwater,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7619,Heathen Brewing Co.,Vancouver,WA,,Micro,,2019-06-04T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7620,Fortside Brewing Company,Vancouver,WA,,Micro,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7621,The Heavy Metal Brewing Co.,Vancouver,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7622,Beerded Brothers Brewing,Vancouver,WA,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7623,Railside Brewing,Vancouver,WA,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7624,Victor 23 Craft Brewery,Vancouver,WA,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7625,Brothers Cascadia Brewing,Vancouver,WA,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7626,Ghost Runners Brewery,Vancouver,WA,,Taproom,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7627,Hopworks Urban Brewery - Vancouver,Vancouver,WA,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7628,Loowit Brewing,Vancouver,WA,,Brewpub,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7629,Brother Ass Brewing,Vancouver,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7630,McMenamins East Vancouver Brewery,Vancouver,WA,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
7631,McMenamins On the Columbia Brewery,Vancouver,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7632,Old Ivy Brewery and Taproom,Vancouver,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
7633,Trap Door Brewing,Vancouver,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7634,Trusty Brewing Co.,Vancouver,WA,,Taproom,,,not_recorded,,not_recorded,,,,,unmatched,,,
7635,Camp Colvos Brewing,Vashon,WA,,Brewpub,,2020-02-07T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7636,Vashon Brewing,Vashon,WA,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
