page_id,section,title,city,state,zip,type,written,drew_one,source_rows
breweries/4kd-crick-brewery,breweries,4kd Crick Brewery,Defiance,OH,43512,Brewpub,2020-03-03,Not recorded,5470
breweries/4th-tap-brewing-cooperative,breweries,4th Tap Brewing Cooperative,Austin,TX,78758,Micro,2019-11-27,Not recorded,6609
breweries/5-alarm-brewing-co,breweries,5 Alarm Brewing Co,Lake Mills,IA,50450,Taproom,2020-02-01,Not recorded,2230
breweries/5-lakes-brewing-co,breweries,5 Lakes Brewing Co.,Dorr,MI,49323,Brewpub,2020-04-11,Not recorded,3442
breweries/5-rabbit-cerveceria-inc,breweries,5 Rabbit Cerveceria Inc,Chicago,IL,60638,Micro,2020-03-03,Not recorded,2370
breweries/5-rights-brewing-co,breweries,5 Rights Brewing Co,Marysville,WA,98270,Micro,2020-04-11,Not recorded,7409
breweries/5-seasons-brewing-co,breweries,5 Seasons Brewing Co,Atlanta,GA,30318,Brewpub,2020-03-03,Not recorded,2057
breweries/5-stones-artisan-brewery,breweries,5 Stones Artisan Brewery,New Braunfels,TX,78132,Micro,2020-04-11,Not recorded,6816
breweries/512-brewing-co,breweries,(512) Brewing Co,Austin,TX,78745,Micro,2019-08-29,Not recorded,6605
breweries/515-brewing-co,breweries,515 Brewing Co,Clive,IA,50325,Taproom,2019-04-20,Not recorded,2193
breweries/5150-brewery-at-the-brass-tap-rocklin,breweries,5150 Brewery At The Brass Tap Rocklin,Rocklin,CA,95677,Brewpub,2020-03-03,Not recorded,770
breweries/51st-ward-beer-company,breweries,51st Ward Beer Company,Westmont,IL,60559,Contract,2020-03-03,Not recorded,2578
breweries/54-40-brewing-company,breweries,54-40 Brewing Company,Washougal,WA,98671,Brewpub,2020-04-11,Not recorded,7645
breweries/550-brewing,breweries,550 Brewing,Aztec,NM,87410,Brewpub,2020-04-11,Not recorded,4787
breweries/559-local-brewing,breweries,559 Local Brewing,Clovis,CA,93612,Micro,2020-03-03,Not recorded,372
breweries/56-brewing,breweries,56 Brewing,Minneapolis,MN,55418,Micro,2020-02-07,Not recorded,3780
breweries/5770-brewery,breweries,5770 Brewery,Teutopolis,IL,62467,Micro,2020-02-07,Not recorded,2562
breweries/5ive-cities-brewing,breweries,5ive Cities Brewing,Bettendorf,IA,52722,Taproom,2020-02-01,Not recorded,2171
breweries/6-bears-and-a-goat-brewing-company-llc,breweries,"6 Bears & A Goat Brewing Company, LLC",Fredericksburg,VA,22406,Brewpub,2019-10-29,Not recorded,7030
breweries/603-brewery,breweries,603 Brewery,Londonderry,NH,03053,Micro,2020-03-03,Not recorded,4567
breweries/612-brew,breweries,612 Brew,Minneapolis,MN,55413,Micro,2020-03-03,Not recorded,3783
breweries/6a-brewing-company,breweries,6A Brewing Company,East Sandwich,MA,02537,Micro,2020-02-01,Not recorded,2974
breweries/6th-and-la-brea,breweries,6th and La Brea,Los Angeles,CA,90036,Brewpub,2020-02-07,Not recorded,564
breweries/7-clans-brewing,breweries,7 Clans Brewing,Canton,NC,28786,Contract,2020-03-03,Not recorded,4194
breweries/7-locks-brewing,breweries,7 Locks Brewing,Rockville,MD,20852,Micro,2020-03-03,Not recorded,3194
breweries/7-mile-brewery,breweries,7 Mile Brewery,Rio Grande,NJ,08242,Taproom,2020-04-11,Not recorded,4724
breweries/7-pour-0-brewery,breweries,7 Pour 0 Brewery,Portsmouth,OH,45662,Micro,2019-11-27,Not recorded,5559
breweries/73-and-main-restaurant-and-brewery,breweries,73 & Main Restaurant and Brewery,Mount Pleasant,NC,28124,Brewpub,2020-04-11,Not recorded,4356
breweries/7th-wave-brewing,breweries,7th Wave Brewing,Medfield,MA,02052,Taproom,2020-03-03,Not recorded,3032
breweries/7venth-sun-brewery,breweries,7venth Sun Brewery,TAMPA,FL,33604,Taproom,2020-03-03,Not recorded,2003
breweries/8-bit-aleworks,breweries,8-Bit Aleworks,Avondale,AZ,85323,Taproom,2019-08-29,Not recorded,128
breweries/8-bit-brewing-company,breweries,8 Bit Brewing Company,Murrieta,CA,92562,Brewpub,2019-08-29,Not recorded,629
breweries/81bay-brewing-company,breweries,81Bay Brewing Company,Tampa,FL,33611,Taproom,2019-08-29,Not recorded,1999
breweries/841-brewhouse,breweries,841 Brewhouse,Whitewater,WI,53190,Brewpub,2019-08-29,Not recorded,7895
breweries/8one8-brewing-llc,breweries,"8one8 Brewing, LLC",Canoga Park,CA,91304,Taproom,2019-08-29,Not recorded,340
breweries/8th-wonder-brewery,breweries,8th Wonder Brewery,Houston,TX,77003,Micro,2019-08-29,Yes,6754
breweries/903-brewers,breweries,903 Brewers,Sherman,TX,75090,Brewpub,2019-08-29,Not recorded,6874
breweries/927-beer-company,breweries,927 Beer Company,Cambria,CA,93428,Taproom,2019-08-29,Not recorded,335
breweries/a-few-old-goats-brewing,breweries,A Few Old Goats Brewing,Roanoke,VA,24016,Taproom,2019-08-29,Not recorded,7139
breweries/a-homestead-brew,breweries,A Homestead Brew,Valley Springs,SD,57068,Taproom,2019-08-29,Not recorded,6476
breweries/a-little-madness-brewing-company,breweries,A Little Madness Brewing Company,Pensacola,FL,32514,Taproom,2019-08-29,Not recorded,1935
breweries/aardwolf-brewing-company,breweries,Aardwolf Brewing Company,Jacksonville,FL,32207,Micro,2019-08-29,Not recorded,1823
breweries/abandon-brewing,breweries,Abandon Brewing,Penn Yan,NY,14527,Taproom,2019-08-29,Not recorded,5181
breweries/abandoned-building-brewery,breweries,Abandoned Building Brewery,Easthampton,MA,01027,Micro,2019-08-29,Not recorded,2975
breweries/aberrant-ales,breweries,Aberrant Ales,Howell,MI,48843,Taproom,2019-08-29,Not recorded,3524
